TIME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,BIKE USAGE
2019-09-20,1025280,632220,369824,1481.0
2019-09-21,1025280,613443,389224,868.0
2019-09-22,1025280,605166,398052,582.0
2019-09-23,1025280,624941,377452,1430.0
2019-09-24,1025280,630519,372427,1529.0
2019-09-25,1025280,628547,373500,1639.0
2019-09-26,1025280,628994,373190,1618.0
2019-09-27,1025280,627068,375583,1407.0
2019-09-28,1025280,598940,395518,691.0
2019-09-29,1025280,587075,395515,836.0
2019-09-30,1025280,616381,378960,1244.0
2019-10-01,1025280,627213,378051,1322.0
2019-10-02,1025280,644476,367821,1467.0
2019-10-03,1025280,639113,372843,1419.0
2019-10-04,1025280,634604,377367,1263.0
2019-10-05,1025280,613512,399226,616.0
2019-10-06,1025280,620967,391435,671.0
2019-10-07,1025280,648144,364325,1474.0
2019-10-08,1025280,652106,361646,1572.0
2019-10-09,1025280,649896,364052,1542.0
2019-10-10,1025280,648851,364786,1609.0
2019-10-11,1025280,646872,367196,1421.0
2019-10-12,1025280,628550,385613,761.0
2019-10-13,1025280,624286,389426,713.0
2019-10-14,1025280,648909,364289,1383.0
2019-10-15,1025280,657939,356025,1485.0
2019-10-16,1025280,660015,354021,1543.0
2019-10-17,1025280,653403,360034,1390.0
2019-10-18,1025280,650755,363430,1294.0
2019-10-19,1025280,630831,383134,723.0
2019-10-20,1025280,634846,378586,636.0
2019-10-21,1025280,653367,359886,1318.0
2019-10-22,1025280,655029,358729,1316.0
2019-10-23,1025280,655006,358744,1509.0
2019-10-24,1025280,650756,363447,1484.0
2019-10-25,1014600,613991,376077,1248.0
2019-10-26,1025280,575394,390589,710.0
2019-10-27,1025280,582033,383907,645.0
2019-10-28,1025280,602765,391192,620.0
2019-10-29,1025280,647049,366132,1285.0
2019-10-30,1018160,641774,364796,1367.0
2019-10-31,1025280,639346,370880,1288.0
2019-11-01,1025280,638737,368891,1377.0
2019-11-02,1025280,618132,385245,677.0
2019-11-03,1025280,618721,381433,655.0
2019-11-04,1021720,617599,375639,1261.0
2019-11-05,1025280,627926,365977,1368.0
2019-11-06,979000,600680,347346,1417.0
2019-11-07,1025280,608616,380161,1093.0
2019-11-08,1021720,620679,362278,1299.0
2019-11-09,1025280,602111,385317,559.0
2019-11-10,1025280,601988,385308,593.0
2019-11-11,1019040,626246,359608,1318.0
2019-11-12,1008000,628743,357272,1277.0
2019-11-13,1008000,621326,365093,1184.0
2019-11-14,1008000,624917,360311,1417.0
2019-11-15,1008000,633318,353108,1427.0
2019-11-16,1008000,607685,379586,726.0
2019-11-17,1008000,603691,383538,700.0
2019-11-18,977901,602696,362408,1318.0
2019-11-19,888675,526708,359613,1426.0
2019-11-20,925335,553002,359284,1448.0
2019-11-21,1008000,624892,361588,1124.0
2019-11-22,1008000,625671,360918,1248.0
2019-11-23,1008000,610903,376683,610.0
2019-11-24,1008000,608598,379022,626.0
2019-11-25,1008000,625645,360883,1250.0
2019-11-26,1008000,630361,355481,1246.0
2019-11-27,1008000,635276,350263,1291.0
2019-11-28,1008000,632194,353321,1303.0
2019-11-29,1008000,629442,357041,1251.0
2019-11-30,1008000,614994,372355,650.0
2019-12-01,1008000,611756,375573,568.0
2019-12-02,1008000,633310,352488,1327.0
2019-12-03,1008000,636045,349769,1467.0
2019-12-04,1008000,632714,353673,1405.0
2019-12-05,1008000,629615,356748,1349.0
2019-12-06,755319,473618,265356,1304.0
2019-12-07,883762,542270,323393,1322.0
2019-12-08,1004500,609633,374697,516.0
2019-12-09,163695,98316,61987,246.0
2019-12-10,581375,366665,201953,1769.0
2019-12-11,983500,622002,338771,1324.0
2019-12-12,766713,481443,268723,1999.0
2019-12-13,586599,367857,205621,1009.0
2019-12-14,1004500,636345,358576,660.0
2019-12-15,1008000,636803,361663,534.0
2019-12-16,1008000,651306,345462,1253.0
2019-12-17,371873,237006,131443,1152.0
2019-12-22,732170,460432,271194,421.0
2019-12-23,463242,290954,171733,863.0
2019-12-24,995890,626882,368165,621.0
2019-12-25,249175,154776,94399,252.0
2019-12-30,732170,457879,263868,598.0
2019-12-31,440873,269687,163865,1462.0
2020-01-01,582380,360116,213785,571.0
2020-01-03,995890,640637,354213,988.0
2020-01-04,73345,45688,27657,1176.0
2020-01-05,732170,463703,268234,491.0
2020-01-06,16109,10110,5990,510.0
2020-01-13,995890,642592,350521,1240.0
2020-01-14,692262,445838,244523,1451.0
2020-01-23,995890,645218,349693,1375.0
2020-01-24,169870,105865,63955,1272.0
2020-01-25,586295,370278,215914,1865.0
2020-01-27,430280,280327,149544,620.0
2020-01-28,999360,652072,345694,1352.0
2020-01-29,1004080,654480,347788,1395.0
2020-01-30,1010880,659221,351087,1439.0
2020-01-31,1010880,656371,353712,1239.0
2020-02-01,1010880,657280,353194,751.0
2020-02-02,1010880,641430,369212,745.0
2020-02-03,1010880,656155,353094,1407.0
2020-02-04,1010880,659435,350182,1326.0
2020-02-05,1010880,657800,350649,1417.0
2020-02-06,1010880,653926,353882,1517.0
2020-02-07,1010880,649647,358988,1287.0
2020-02-08,1010880,632342,378493,731.0
2020-02-09,1010880,626277,382910,429.0
2020-02-10,1010880,648835,358366,1285.0
2020-02-11,1010880,657292,351060,1199.0
2020-02-12,1010880,658731,350550,1244.0
2020-02-13,1010880,660253,348685,1422.0
2020-02-14,1010880,655532,354024,1274.0
2020-02-15,1010880,634732,375415,535.0
2020-02-16,1010880,638427,372084,621.0
2020-02-17,1010880,659974,349472,1276.0
2020-02-18,1010880,657437,351304,1339.0
2020-02-19,1010880,655102,353862,1259.0
2020-02-20,1010880,655286,353594,1208.0
2020-02-21,1010880,649518,360172,1233.0
2020-02-22,1010880,632820,376825,770.0
2020-02-23,1010880,632276,377412,593.0
2020-02-24,1010880,646874,362819,1387.0
2020-02-25,1010880,644036,362154,1339.0
2020-02-26,1010880,643418,356688,1291.0
2020-02-27,1015140,646654,357026,1318.0
2020-02-28,1019520,642285,365430,1224.0
2020-02-29,1019520,622991,387580,561.0
2020-03-01,1019520,627548,382553,705.0
2020-03-02,1019520,651651,357667,1315.0
2020-03-03,1019520,656906,356253,1345.0
2020-03-04,1019520,657801,358852,1469.0
2020-03-05,1019520,655234,361690,1337.0
2020-03-06,1019520,645659,366195,1248.0
2020-03-07,1019520,632650,385323,646.0
2020-03-08,1019520,629156,388578,625.0
2020-03-09,1019520,647915,368641,1223.0
2020-03-10,1019520,659828,356502,1245.0
2020-03-11,1019520,652483,363844,1252.0
2020-03-12,1019520,647416,369073,1296.0
